repo,package,release_tag,release_name,release_date_utc,asset_original_name,saved_filename,download_url,content_type,size_bytes
michelesalvador/FamilyGem,app.familygem,v1.2,Family Gem 1.2,2025-06-23T17:16:50+00:00,Family_Gem_1.2.apk,Family_Gem_1.2.apk,https://github.com/michelesalvador/FamilyGem/releases/download/v1.2/Family_Gem_1.2.apk,application/vnd.android.package-archive,4668770
michelesalvador/FamilyGem,app.familygem,v1.1,Family Gem 1.1,2025-01-14T18:01:31+00:00,Family_Gem_1.1.apk,Family_Gem_1.1.apk,https://github.com/michelesalvador/FamilyGem/releases/download/v1.1/Family_Gem_1.1.apk,application/vnd.android.package-archive,8922987
michelesalvador/FamilyGem,app.familygem,v1.0.1,Family Gem 1.0.1,2024-02-07T18:18:29+00:00,Family_Gem_1.0.1.apk,Family_Gem_1.0.1.apk,https://github.com/michelesalvador/FamilyGem/releases/download/v1.0.1/Family_Gem_1.0.1.apk,application/vnd.android.package-archive,8776285
michelesalvador/FamilyGem,app.familygem,v1.0,Family Gem 1.0,2023-05-24T14:47:14+00:00,Family_Gem_1.0.apk,Family_Gem_1.0.apk,https://github.com/michelesalvador/FamilyGem/releases/download/v1.0/Family_Gem_1.0.apk,application/vnd.android.package-archive,4590845
michelesalvador/FamilyGem,app.familygem,v0.9.2,Family Gem 0.9.2,2022-12-30T15:38:53+00:00,Family_Gem_0.9.2.apk,Family_Gem_0.9.2.apk,https://github.com/michelesalvador/FamilyGem/releases/download/v0.9.2/Family_Gem_0.9.2.apk,application/vnd.android.package-archive,3357396
michelesalvador/FamilyGem,app.familygem,v0.9.1,Family Gem 0.9.1,2022-10-13T15:31:25+00:00,Family_Gem_0.9.1.apk,Family_Gem_0.9.1.apk,https://github.com/michelesalvador/FamilyGem/releases/download/v0.9.1/Family_Gem_0.9.1.apk,application/vnd.android.package-archive,3206791
michelesalvador/FamilyGem,app.familygem,v0.9,Family Gem 0.9,2022-05-26T17:42:11+00:00,Family_Gem_0.9.apk,Family_Gem_0.9.apk,https://github.com/michelesalvador/FamilyGem/releases/download/v0.9/Family_Gem_0.9.apk,application/vnd.android.package-archive,3174419
michelesalvador/FamilyGem,app.familygem,v0.8,Family Gem 0.8,2021-09-17T17:59:31+00:00,Family_Gem_0.8.apk,Family_Gem_0.8.apk,https://github.com/michelesalvador/FamilyGem/releases/download/v0.8/Family_Gem_0.8.apk,application/vnd.android.package-archive,2861096
michelesalvador/FamilyGem,app.familygem,v0.7.16,Family Gem 0.7.16,2021-01-22T20:13:21+00:00,Family_Gem_0.7.16.apk,Family_Gem_0.7.16.apk,https://github.com/michelesalvador/FamilyGem/releases/download/v0.7.16/Family_Gem_0.7.16.apk,application/vnd.android.package-archive,2607356
michelesalvador/FamilyGem,app.familygem,v0.7.15,Family Gem 0.7.15,2020-12-28T10:54:43+00:00,Family_Gem_0.7.15.apk,Family_Gem_0.7.15.apk,https://github.com/michelesalvador/FamilyGem/releases/download/v0.7.15/Family_Gem_0.7.15.apk,application/vnd.android.package-archive,2597412
