repo,package,release_tag,release_name,release_date_utc,asset_original_name,saved_filename,download_url,content_type,size_bytes
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.9.1,v9.9.1,2025-09-28T18:19:51+00:00,PersianCalendar-9.9.1-main-11138-825ddb6b1-release.apk,v9.9.1.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.9.1/PersianCalendar-9.9.1-main-11138-825ddb6b1-release.apk,application/vnd.android.package-archive,3363894
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.9.0,v9.9.0,2025-09-15T14:48:51+00:00,PersianCalendar-9.9.0-main-11010-556447833-release.apk,v9.9.0.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.9.0/PersianCalendar-9.9.0-main-11010-556447833-release.apk,application/vnd.android.package-archive,3314588
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.8.9,v9.8.9,2025-09-14T09:36:40+00:00,PersianCalendar-9.8.9-main-10992-4ae205035-release.apk,v9.8.9.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.8.9/PersianCalendar-9.8.9-main-10992-4ae205035-release.apk,application/vnd.android.package-archive,3310049
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.8.8,v9.8.8,2025-07-20T09:31:50+00:00,PersianCalendar-9.8.8-main-10786-c641c81d4-release.apk,v9.8.8.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.8.8/PersianCalendar-9.8.8-main-10786-c641c81d4-release.apk,application/vnd.android.package-archive,3255353
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.8.6,v9.8.6,2025-07-07T05:39:44+00:00,PersianCalendar-9.8.6-main-10760-dc353ed13-release.apk,v9.8.6.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.8.6/PersianCalendar-9.8.6-main-10760-dc353ed13-release.apk,application/vnd.android.package-archive,3255241
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.8.5,v9.8.5,2025-05-09T11:10:46+00:00,PersianCalendar-9.8.5-main-10547-15fb3e52b-release.apk,v9.8.5.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.8.5/PersianCalendar-9.8.5-main-10547-15fb3e52b-release.apk,application/vnd.android.package-archive,3228487
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.8.2,v9.8.2,2025-04-12T18:06:49+00:00,PersianCalendar-9.8.2-main-10452-3d78ea01e-release.apk,v9.8.2.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.8.2/PersianCalendar-9.8.2-main-10452-3d78ea01e-release.apk,application/vnd.android.package-archive,3208995
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.8.1,v9.8.1,2025-04-10T18:55:50+00:00,PersianCalendar-9.8.1-main-10437-347703b11-release.apk,v9.8.1.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.8.1/PersianCalendar-9.8.1-main-10437-347703b11-release.apk,application/vnd.android.package-archive,3207773
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.7.0,v9.7.0,2025-02-12T19:51:20+00:00,PersianCalendar-9.7.0-main-10163-5c2a51726-release.apk,v9.7.0.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.7.0/PersianCalendar-9.7.0-main-10163-5c2a51726-release.apk,application/vnd.android.package-archive,3192816
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.6.0,v9.6.0,2025-01-01T13:46:38+00:00,PersianCalendar-9.6.0-main-9894-145229d76-release.apk,v9.6.0.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.6.0/PersianCalendar-9.6.0-main-9894-145229d76-release.apk,application/vnd.android.package-archive,3045383
