repo,package,release_tag,release_name,release_date_utc,asset_original_name,saved_filename,download_url,content_type,size_bytes
federicoiosue/Omni-Notes,it.feio.android.omninotes,6.3.1,6.3.1,2023-12-16T22:45:41+00:00,OmniNotes-playRelease-6.3.1.apk,6.3.1.apk,https://github.com/federicoiosue/Omni-Notes/releases/download/6.3.1/OmniNotes-playRelease-6.3.1.apk,application/vnd.android.package-archive,8406639
federicoiosue/Omni-Notes,it.feio.android.omninotes,6.3.0,6.3.0,2023-12-07T00:33:24+00:00,OmniNotes-playRelease-6.3.0.apk,6.3.0.apk,https://github.com/federicoiosue/Omni-Notes/releases/download/6.3.0/OmniNotes-playRelease-6.3.0.apk,application/vnd.android.package-archive,8425568
federicoiosue/Omni-Notes,it.feio.android.omninotes,6.2.8,6.2.8,2023-05-31T14:19:11+00:00,OmniNotes-playRelease-6.2.8.apk,6.2.8.apk,https://github.com/federicoiosue/Omni-Notes/releases/download/6.2.8/OmniNotes-playRelease-6.2.8.apk,application/vnd.android.package-archive,7632324
federicoiosue/Omni-Notes,it.feio.android.omninotes,6.2.7,6.2.7,2023-05-30T23:45:22+00:00,OmniNotes-playRelease-6.2.7.apk,6.2.7.apk,https://github.com/federicoiosue/Omni-Notes/releases/download/6.2.7/OmniNotes-playRelease-6.2.7.apk,application/vnd.android.package-archive,7632275
federicoiosue/Omni-Notes,it.feio.android.omninotes,6.2.5,6.2.5,2023-04-22T18:11:13+00:00,OmniNotes-playRelease-6.2.5.apk,6.2.5.apk,https://github.com/federicoiosue/Omni-Notes/releases/download/6.2.5/OmniNotes-playRelease-6.2.5.apk,application/vnd.android.package-archive,7634901
federicoiosue/Omni-Notes,it.feio.android.omninotes,6.2.4,6.2.4,2023-04-18T09:44:00+00:00,OmniNotes-playRelease-6.2.4.apk,6.2.4.apk,https://github.com/federicoiosue/Omni-Notes/releases/download/6.2.4/OmniNotes-playRelease-6.2.4.apk,application/vnd.android.package-archive,7633981
federicoiosue/Omni-Notes,it.feio.android.omninotes,6.2.3,6.2.3,2023-04-16T16:59:13+00:00,OmniNotes-playRelease-6.2.3.apk,6.2.3.apk,https://github.com/federicoiosue/Omni-Notes/releases/download/6.2.3/OmniNotes-playRelease-6.2.3.apk,application/vnd.android.package-archive,7634039
federicoiosue/Omni-Notes,it.feio.android.omninotes,6.2.2,6.2.2,2023-04-11T15:10:58+00:00,OmniNotes-playRelease-6.2.2.apk,6.2.2.apk,https://github.com/federicoiosue/Omni-Notes/releases/download/6.2.2/OmniNotes-playRelease-6.2.2.apk,application/vnd.android.package-archive,7601912
federicoiosue/Omni-Notes,it.feio.android.omninotes,6.1.0,6.1.0,2022-03-07T10:25:18+00:00,300.apk,6.1.0.apk,https://github.com/federicoiosue/Omni-Notes/releases/download/6.1.0/300.apk,application/vnd.android.package-archive,7822415
federicoiosue/Omni-Notes,it.feio.android.omninotes,4.7.2,4.7.2,2023-08-08T06:29:42+00:00,141.apk,4.7.2.apk,https://github.com/federicoiosue/Omni-Notes/releases/download/4.7.2/141.apk,application/vnd.android.package-archive,5559361
