repo,package,release_tag,release_name,release_date_utc,asset_original_name,saved_filename,download_url,content_type,size_bytes
gsantner/markor,gsantner_markor,v2.15.1,Markor v2.15.1,2025-09-20T13:51:53+00:00,net.gsantner.markor-v160-2.15.1-flavorDefault-release.apk,Markor_v2.15.1.apk,https://github.com/gsantner/markor/releases/download/v2.15.1/net.gsantner.markor-v160-2.15.1-flavorDefault-release.apk,application/vnd.android.package-archive,11937320
gsantner/markor,gsantner_markor,v2.15.0,Markor v2.15.0,2025-09-18T20:34:46+00:00,net.gsantner.markor-v159-2.15.0-flavorDefault-release.apk,Markor_v2.15.0.apk,https://github.com/gsantner/markor/releases/download/v2.15.0/net.gsantner.markor-v159-2.15.0-flavorDefault-release.apk,application/vnd.android.package-archive,11937494
gsantner/markor,gsantner_markor,v2.14.1,Markor v2.14.1,2025-03-11T01:31:43+00:00,net.gsantner.markor-v158-2.14.1-flavorDefault-release.apk,Markor_v2.14.1.apk,https://github.com/gsantner/markor/releases/download/v2.14.1/net.gsantner.markor-v158-2.14.1-flavorDefault-release.apk,application/vnd.android.package-archive,11980038
gsantner/markor,gsantner_markor,v2.14.0,Markor v2.14.0,2025-01-02T18:14:03+00:00,net.gsantner.markor-v157-2.14.0-flavorDefault-release.apk,Markor_v2.14.0.apk,https://github.com/gsantner/markor/releases/download/v2.14.0/net.gsantner.markor-v157-2.14.0-flavorDefault-release.apk,application/vnd.android.package-archive,11952413
gsantner/markor,gsantner_markor,v2.13.1,v2.13.1 (156),2024-11-15T12:01:24+00:00,net.gsantner.markor-v156-2.13.1-flavorDefault-release.apk,v2.13.1_(156).apk,https://github.com/gsantner/markor/releases/download/v2.13.1/net.gsantner.markor-v156-2.13.1-flavorDefault-release.apk,application/vnd.android.package-archive,11945406
gsantner/markor,gsantner_markor,v2.13.0,Markor v2.13.0 (code 155),2024-10-26T22:52:22+00:00,net.gsantner.markor-v155-2.13.0-flavorDefault-release.apk,Markor_v2.13.0_(code_155).apk,https://github.com/gsantner/markor/releases/download/v2.13.0/net.gsantner.markor-v155-2.13.0-flavorDefault-release.apk,application/vnd.android.package-archive,11952861
gsantner/markor,gsantner_markor,v2.12.5,Markor v2.12.5 (154),2024-07-27T12:34:31+00:00,net.gsantner.markor-v154-2.12.5-flavorDefault-release.apk,Markor_v2.12.5_(154).apk,https://github.com/gsantner/markor/releases/download/v2.12.5/net.gsantner.markor-v154-2.12.5-flavorDefault-release.apk,application/vnd.android.package-archive,11541827
gsantner/markor,gsantner_markor,v2.12.4, Markor v2.12.4 (code 153),2024-07-26T10:49:56+00:00,net.gsantner.markor-v153-2.12.4-flavorDefault-release.apk,Markor_v2.12.4_(code_153).apk,https://github.com/gsantner/markor/releases/download/v2.12.4/net.gsantner.markor-v153-2.12.4-flavorDefault-release.apk,application/vnd.android.package-archive,11487209
gsantner/markor,gsantner_markor,v2.12.3,Markor v2.12.3 (code 152),2024-07-20T14:16:41+00:00,net.gsantner.markor-v152-2.12.3-flavorDefault-release.apk,Markor_v2.12.3_(code_152).apk,https://github.com/gsantner/markor/releases/download/v2.12.3/net.gsantner.markor-v152-2.12.3-flavorDefault-release.apk,application/vnd.android.package-archive,12072493
gsantner/markor,gsantner_markor,v2.12.2,Markor v2.12.2 (code 151),2024-05-25T10:18:30+00:00,net.gsantner.markor-v151-2.12.2-flavorDefault-release.apk,Markor_v2.12.2_(code_151).apk,https://github.com/gsantner/markor/releases/download/v2.12.2/net.gsantner.markor-v151-2.12.2-flavorDefault-release.apk,application/vnd.android.package-archive,11936483
gsantner/markor,gsantner_markor,v2.12.1, Markor v2.12.1 (150),2024-05-19T08:24:06+00:00,net.gsantner.markor-v150-2.12.1-flavorDefault-release.apk,Markor_v2.12.1_(150).apk,https://github.com/gsantner/markor/releases/download/v2.12.1/net.gsantner.markor-v150-2.12.1-flavorDefault-release.apk,application/vnd.android.package-archive,11935839
gsantner/markor,gsantner_markor,v2.12.0,Markor v2.12.0 (149),2024-05-12T06:15:01+00:00,net.gsantner.markor-v149-2.12.0-flavorDefault-release.apk,Markor_v2.12.0_(149).apk,https://github.com/gsantner/markor/releases/download/v2.12.0/net.gsantner.markor-v149-2.12.0-flavorDefault-release.apk,application/vnd.android.package-archive,11934825
gsantner/markor,gsantner_markor,v2.11.0,Markor v2.11.0 (147),2023-10-11T16:14:31+00:00,net.gsantner.markor-v147-2.11.0-flavorDefault-release.apk,Markor_v2.11.0_(147).apk,https://github.com/gsantner/markor/releases/download/v2.11.0/net.gsantner.markor-v147-2.11.0-flavorDefault-release.apk,application/vnd.android.package-archive,11120900
gsantner/markor,gsantner_markor,v2.10.9,Markor v2.10.9 (146),2023-05-31T17:14:08+00:00,net.gsantner.markor-v146-2.10.9-flavorDefault-release.apk,Markor_v2.10.9_(146).apk,https://github.com/gsantner/markor/releases/download/v2.10.9/net.gsantner.markor-v146-2.10.9-flavorDefault-release.apk,application/vnd.android.package-archive,11075163
gsantner/markor,gsantner_markor,v2.10.8,Markor v2.10.8 (145),2023-03-20T18:29:00+00:00,net.gsantner.markor-v145-2.10.8-flavorDefault-release.apk,Markor_v2.10.8_(145).apk,https://github.com/gsantner/markor/releases/download/v2.10.8/net.gsantner.markor-v145-2.10.8-flavorDefault-release.apk,application/vnd.android.package-archive,10649337
gsantner/markor,gsantner_markor,v2.10.7,Markor v2.10.7 (143),2023-01-08T19:49:17+00:00,net.gsantner.markor-v143-2.10.7-flavorDefault-release.apk,Markor_v2.10.7_(143).apk,https://github.com/gsantner/markor/releases/download/v2.10.7/net.gsantner.markor-v143-2.10.7-flavorDefault-release.apk,application/vnd.android.package-archive,10672912
gsantner/markor,gsantner_markor,v2.10.6,Markor v2.10.6 (142),2022-10-16T09:49:54+00:00,net.gsantner.markor-v142-2.10.6-flavorDefault-release.apk,Markor_v2.10.6_(142).apk,https://github.com/gsantner/markor/releases/download/v2.10.6/net.gsantner.markor-v142-2.10.6-flavorDefault-release.apk,application/vnd.android.package-archive,10568739
